fuckin'm transtelecom,Negative 
@donnyeffrien good to know PLN's Earthday doesn't only happen in my neck of the woods,Positive
@thebraysmommy thx! Hoping it's a good week.,Positive
@crazy_people sure is,Positive
excited to jam + and auditions,Positive
@YousifMind good morning  3asa mo bs important classes ? :p,Positive
get my wii fit in couple of hours!,Positive
"woo just made this, follow me",Positive
"@CyberSleeper Awww man that does suck big time  But look at it this way, it gives you something to look forward too, a nice long ride",Positive
Flickr pics Chester Zoo: danwtmoon posted a photo:   &quot;WELCOME&quot; to Chester Zoo by Jockey  http://tinyurl.com/cq7qw8,Positive
In the arts having coffee and cake,Positive
Digging the ideas behind railsbridge (http://railsbridge.org/),Positive
WOOOOO!! Twitterberry is working again!! Good morning everyone,Positive
off to get ready for school. have an absolute wonderful day!,Positive
Happy Star Wars Day,Positive
Happy Star Wars Day!!! May The 4th Be With You!,Positive
@Darke_Ascension Hope it's a great one for ya  http://myloc.me/tvD,Positive
"@happy_pills we have a punching bag here! but ive never touched it, covered with my brother's sweat.. but u can use it if u want! hehe",Positive
Good morning!  Just took the longest shower ive ever taken in my life. Like 45 to 50 min shower!! Woah. lol,Positive
"your saaaaafe with mee(8) fucking epic times again last night  old friends and new friendships, good way to kick off this month!",Positive
yeaaaah tangerang in vacation,Positive
@Ddubs_Ky_Monkey Hope u have an amazing day today Monkey! U deserve it!  No cheating on DEW &amp; looking at THE PICTURE! lol Happy Bday! &lt;3,Positive
"coach says have come along way, faster that alot of people  oh yeah whos the man. ohh very sore",Positive
starting off my day with a little Northern Light,Positive
How I met your mother and Scrubs in role! YEAH! &quot;Cause I'm FLY!,Positive
@urbalcloud hahaha! i have a secret door to the real batcave,Positive
"@Mollieandme Hello, you are sooo awesome!! Dont ever stop what your doing haha, You make me fall off my chair laughing  x",Positive
unpacking my new toy arrived in the studio right now  it's called TC Finalizer. can't wait to check how it sounds !!!,Positive
@carmenparnos thanks so much for the belated #followfriday shout out #payingitforward,Positive
"@RachaelPhillips wow!! you really are a pretty talented lady, most impressed",Positive
@joannaboothby freeeeeeeeeeeeeeeezING nigga im so excited to see you soooooooon!!!  lets go see 17 again AGAIN yehhaaaaaaa!,Positive
lol @ kalahari.net marketing - &quot;may the 4th be with you&quot;,Positive
@ borgellaj  you know what? They're YOUR CATS,Positive
i have a feeling today is going to be amazing,Positive
Gonna head into the shower now...  Going to a friend's birthday party =],Positive
"@Joerup I think it'll be more like a casual attendance instead of a review, as there might not be another issue of felix by then.  Thanks.",Positive
"@Rliversidge Great stuff, can't wait to hear it!",Positive
@Andph112 hope you enjoyed your holiday,Positive
@m3nny5 iye neh...kurang tidur kayaknya. pulang pagian deh hari ini tidur langsung...haha. Thanks!,Positive
@jocelynseip Thank you - If you like please leave a comment and Subscribe!   Chicago another great musical.  Thanks for your support.,Positive
Looking forward to Cambridge on the weekend and shopping with Ilze,Positive
Score two days I get more food stamps good cause i want a safeway pizza,Positive
Good morning!!! Who wants breakfast??,Positive
"Going shopping  Then Sunday dinner, round two :p",Positive
"yay sing it loud wed, fall out boy, all time low and cobra starship on friday  WIN",Positive
http://twitpic.com/4jdkq - Got a new belt  it's a sheriff star,Positive
@FONEJACKER12009 haha I do not know how to work blip apart from the obvious! thanks for reblipping my song  have a nice day xxx,Positive
"@cassiewho haha no problem, it's fun isn't it",Positive
I've just realised - 400 FOLLOWERS! YAY!  xx,Positive
@OceanCity thank you.  we had a blast,Positive
@xoxokimmie good morning,Positive
supernatural tonight  yay,Positive
Soon my new job starts  I'm so happy!,Positive
School -.- I'm arrange for the design of the blog to a friend! I think it's looks good  http://xoxoeternity.blogg.no/,Positive
@tobinharris brilliant! Best tool of the year,Positive
HAPPY STAR WARS DAY EVERYONE  any excuse for a few drinkies eh?,Positive
waitin for dr dee.... had lunch with my beautiful lady  before that i was on the gym ... ( yeah need to loose 10 more  ),Positive
"GoodMorning. My Father's going balistic, and I'd say more but I'd rather not get beat, so Have a Good Day, and please text me",Positive
Off to a wedding!,Positive
"Finally started Twittering.... got to keep up... So downgrade from full colour, pictures etc. to simple small sized text messages....",Positive
@monicafrancesca congratulations! woootwoooo!  @ginoboi great game!  nakaka-hyper kayo!,Positive
Oh also today we must remember that it is Hoppusday. So happy Hoppusday  Yes I said it yesterday but it changed okay?,Positive
Another HD - my lecturer was gob smacked by how good our presentation was,Positive
"@sweetemmaxxx i love the cheesey ones, and the cool orignal ones  , , , skips i have when my brother has them got to try them u c haha",Positive
weather starting to be better  So just SHINE **,Positive
sitting on chloes little trike thingo its a girraffe  ill most probobly get yelled at with in the next minute or so! ohhh well,Positive
is busy creating a new logo for my  site,Positive
@AmyyVee aww that was a really great blog :] thanks for the mention  hi form the philippines :-h :],Positive
got alot of runnin around to do today to get this job app completed so they can have it on file... so glad i got this job!!,Positive
"@tranced1 yes mate, on Friday",Positive
@XLesseyX good and you cup cake,Positive
@YatPundit oooh OK. thought I was losing my MizMind,Positive
yeah! I'm going to Makati Cinema Square with my dad later. haha!,Positive
My wish came true!  see u,Positive
@paulina1 Good Morning and Have a Great Day at work,Positive
:visiting my friendster and facebook,Positive
Brilliant weekend.  BRILLIANT I SAY!    In work now and actually working .,Positive
Ahh saved from mowing the lawn by the rain  Now I have plenty of time to go kayaking. Blessed are the rain gods!!,Positive
home from the beach and only my feet are burned. i am proud of myself and the sunscreen.,Positive
Congratulations to Manny &quot;Pacman&quot; Pacquiao! You've made every Filipino proud of being a Filipino!,Positive
@Marge_Inovera Hi Jakki! Thanks for the hug - right back at ya,Positive
"Soon we are going to look at a cabaret, it's going to be fun!",Positive
photo session + mother-daughters bonding session = happy me,Positive
Mexican! That's what I'm craving,Positive
May the 4th be with you    Happy Star Wars Day !!!,Positive
Some goodies bagged at the car boot including some very cute cross stitch birds for my craft room! The man selling was a sweetie,Positive
heading off to schoool. going to have a good day. i just knoww...,Positive
http://twitpic.com/4jdtx - Springtime is nice,Positive
@AndyTaylorSonic Yey! holiday Monday in Uk today ... have a chilled day,Positive
@emzyjonas My favourite TV show when i was a kid was.. Bananas In Pyjamas and Teletubbies.  lol Luckyy youuuu going to a JB concert! haha.,Positive
@cresh182 have fun ! bbq is good ! no matter where it is,Positive
@chelsea_anstee i hope! its in expo! that would be amazing. im trying so hard to make perfection so it is.,Positive
@vampirefreak101 Haha ^^ Thanks,Positive
"Oh, and now Mondays also mean new American Dad!  So glad I watched that show, so funny, and it makes Mondays even better",Positive
whoa. that was some showering session,Positive
@ninaaacooperrr don't not come in  i love you... and it's your last week and you need to see me..... you're hot,Positive
@jeffparks naw...I'll keep you in. Turns out you have the odd nugget of wisdom.,Positive
Aparantly it's #starwarsday so enjoy  don't quite know what your Kent to do but be happy anywho!,Positive
"Went to see Priscilla Ahn last night, was amazin! so were the bands before her actually",Positive
@ingegoesbroadwa sounds like you're having a great time,Positive
@jimmymarsh617 awesome job last night!,Positive
3oh!3 on the radio  they were amazing yesterday.,Positive
@jrathburn Good mornin' Jason! Ready for a fresh new week as well!,Positive
@Brrridgett I already know what happens on Supernatural.,Positive
"the maccabees new album is a winner ,everybody should take a listen fact",Positive
"Very tired! Dinner good, then churro's were good!",Positive
"Oh yeah, Radio1 is SO playing Earth, Wind and Fire",Positive
@Stephkerchner heard through the grapevine that we might see you around today. Looking forward to meeting you.,Positive
is online shopping...fantastic,Positive
looking for new ideas for my blog,Positive
@WestEndActress It's well good!!,Positive
@antony Hahahahahahahahahah! That tickled me so much!,Positive
@miraaaaa hahaha. you should eat then!,Positive
@utterhip U r welcome pal  u truly deserve 2 be followed,Positive
"@grentone If you have specific questions, let me know. Always good to have them when writing stuff. Well, I am off  Have fun!",Positive
may the 4th be with you! HAPPY STAR WARS DAY!,Positive
"Sydney - Toyota - Landcruiser - 1996 - $10,000  - new ad received and will be posted on the HCC site soon",Positive
Yes we Can  make it ......Obama,Positive
"Good morning Tweepsland! Makin' it a great Monday! Huge shout out to all my followers .. muah, muah! I appreciate you all",Positive
@santoscarmen that's a lot of mangoes.. haha  baka naglilihi ka ahh?? haha  joke lang carmen,Positive
"is almost done with the third/chapter cover page, yay",Positive
had the best weekend,Positive
"WANTED: New liver and kidney, glass of wine would be good toooo",Positive
@ccr_harris  There were way more than two! Ten hours of real-ale takes it out of you,Positive
seen loads of new photos and stuff of new moon and cant wait  lol (L) Taylor lautner lol   takes his shirt off 3 times yum =]... lol,Positive
@aulia &quot;alternate means of acquisition&quot; sounds sorta noble,Positive
@pourpresheep lol. thanks babe!,Positive
gooooood morning,Positive
"Hey David! Gone on the Eye yet? It's my birthday, and you singing @ Ipswitch-best present ever! Have fun breakfast hunting!",Positive
"@taylorswift13 We welcome you, Taylor ) Although it's raining :// Can't wait for your concert  x",Positive
finish some sketches und then go out an skate! Yeeeehaaa! got a new deck,Positive
this goes out to the one n only smirker   cheers dave!  aka jak  aka the best chest ever! ? http://blip.fm/~5jjcc,Positive
@trekkerguy Have already had a great day!  Enjoy your Weeties!,Positive
@HemalRadia Hello pal..nice 2 c u today...have a gr8 week,Positive
"skipping school w/ carleigh today, both of us barley got an hr of sleep last nite. i got a new bby kitten! shes all black",Positive
"been playing UFC Unleashed 2009 demo, its a impressive game, got the Apprentice on now, Lazy Monday",Positive
@ckjchambers I agree the G B Reef got my vote  #queensland,Positive
@TracyeDukes Good Morning and thanks for the Retweet,Positive
I'm still pumped from the concert saturday. 17/7/09 here i come,Positive
@Emily_Morden ..be at richard's. if not then i'll see you when you/we get back  good luck!,Positive
@dayv79 haha I just playing,Positive
@NakedSoap @dandineen lol yep sure do... although I must get out the house today !!!,Positive
"@rewebcoach So far (with the exception of the rain), my morning is Great.  But I won't let it dampen my day",Positive
congratulations penjiiii !!! Are we calling him soulja boy or mcbaby lol,Positive
happy star wars day everyone  off to celebrate with the family... ok we're not celebrating it but i am going round to the famo's...,Positive
@annahasphyxiate re sore back and legs: well at least you had a good time. epson salt works good usually.  DM me if need more help,Positive
@GreeGreece Thanks for the Gifford Lectures page,Positive
I had fun this summer,Positive
"@frixionofficial its a hott tuuneee,",Positive
@mikefoong lol i like challenges  the more impossible the more i want to try!,Positive
"? Polly Scattergood's new single out today! Download the Please Don't Touch EP on iTunes, it's ace!  http://tr.im/kpK8",Positive
@1sweetwhirl remember the guy who 1st #tweetbud you! ~&gt; @yashved_2890  help him get 900 flwrs &amp; make him smile!,Positive
Good morning  ready to start this week.,Positive
"reviews done, 30 new sentences, 100+ iknow done wow on a role",Positive
i've heard Basment Jaxx's new song &quot;Raindrops&quot;...that's fantastic!!! and makes me dancing  i can't wait Fuji Rock Festival...,Positive
"Chillin with the rents, and looking at hilarious old photos. Well funny!",Positive
@mombloggersclub Good morning,Positive
Come join the fun as I through out the first pitch at the Legends game... May 16th @ 7 pm!   http://tinyurl.com/6nkpuz,Positive
@DickieA @chrisjlovell it's true!  @chrisjlovell have u downloaded the tweetdeck yet? it is literally amazing  xxx,Positive
@HaoranC Go for it!!,Positive
@amazondotjon http://twitpic.com/4j9cd - whoaaaaaaaaaaa RYAN!!!! i can see his smile from here,Positive
@Ashika_Sunshine  I figured that... But I ended up taking my cousin to work in the Rain anyway...    But hit me up,Positive
Happy Star Wars Day,Positive
"@Nextread I agree, keep it in Star Trek but make it commercially viable! C'mon!",Positive
Is listening to P!nk tunage and trying to teach my cat to dance to it... I think she's getting it we can be backing dancers by next tour,Positive
"@yuniphan Yay! Congratulations, oh newly minted graduate. You'll have to let me buy you lunch and iced chocolates (PLURAL) to celebrate!",Positive
"@Monica2112 this is 5 hours late, but i never managaed to sleep properly. i think david tweeting me back earlier is the reason. ahaha",Positive
@DaveDuarte I can remember those Evidence Based Management lectures...definitely the best of EBM,Positive
Going to the gym early trying to get back in shape again. My husb got me a gift cert to swim w/ Dolphins for my BD.  Need muscles!,Positive
@clumsyFA yeah! Love my Hawaiian outfit. We reused that for rugby 7 this year with @doublechin,Positive
Guinness got 2 'new' toys from mom and dads house.  Hooray for free stuff,Positive
"@macmuso thank you very much, I'm glad you like them!",Positive
"@dandineen I am UCE, I did my PGCE there   went to Leicester for my main degree though ...",Positive
"@DjChino102Jamz  I just got through doing my work now I can take the whole day off, its great being your own boss",Positive
I have been awarded my first ever credit card,Positive
Clive it's my birthday pat me  http://apps.facebook.com/dogbook/profile/view/6386106,Positive
happy star wars day,Positive
omg supernatural is on after good news week,Positive
"Out for a walk in the cornish countryside, on the great British bank hol   http://bit.ly/AILUn  http://yfrog.com/6rwwtj",Positive
nice weather..looks like its going to rain here in # Delhi.,Positive
@treewatcher21 Ah veronica! its a pleasure to meet you  I'm stephen,Positive
@Pink congradts on ur show  Even tho i wasnt there lol,Positive
it was a hard weekend. too much alcohol on these fuckin &quot;weinfest&quot;,Positive
@clara018 heyy lol we are talking on david archuleta site as well lol  your funy lol,Positive
i can be a good girl at school.. today i was!! i did it!! yayy,Positive
"we finally got our graduation gear today, i'm so excited. can you believe it? just 41 days left! aaah  and the sweater is so cozy",Positive
snowbear has finally come out...congrats che and warren,Positive
Happy Star Wars day!,Positive
I love when i have time for starbucks,Positive
@hadoukenuk http://twitpic.com/4hsd2 - Weheyyyy   We give thanks for MIDI keyboards,Positive
Yum! Whole box of cookies for me,Positive
Today is going to be a good day!! On my way to work spending time with Jesus,Positive
Reading a book instead of revising. Thinking about lunch. Heart rate is 56 bpm... just in case you wanted to know,Positive
"@TerriCook Good Evening Terri! Have missed you lately, hope life is being good to you. Have a wonderful evening !",Positive
30 year old Barbie dolls still can rock it...that girl was H-O-T!  and Ken ain't so bad either!  now those are memories!,Positive
Last week of class... Well technically classes are over just have two exams  and summmmmerrrrr begins...yeahhhhhyaaaaaa,Positive
"sorry @sanderschenk I misspelled twice already. Im notgiving you up, just have to run  ? http://blip.fm/~5jjxr",Positive
On the bus to NYC   http://yfrog.com/08kaifj,Positive
@Danacea Happy Star Wars Day!!!,Positive
@DrMommy I have got my smile,Positive
Good Morning Campers! I got LOTS of sleep last night! Thank you! Thank you Ash! Thank You!,Positive
"@tessneale i suppose this will be in the blog post, but could u email me who was there too",Positive
"@gracepoltrack Why yes I DO!!  ...Or rather, did. Just finished it! Starting Dead Like Me, lollll~",Positive
@turtleclansago thanx for the msg! glad u liked my singing!,Positive
Eating rice for breakfast. Yes.,Positive
"@Mossyy Not a problem,  Glad to!",Positive
ah what a lovely day for a bike ride and cake making  *is rooting 4 those who are revising!* do your best! X,Positive
@Pink ur shows r amazin  keep it up ! x,Positive
@jeffsgrippen yeah it's great!! always something interesting going on,Positive
life is so good. and it will much greater on Thursday at 5pm!,Positive
@Pink Can't wait to see you on December in Switzerland for a third rendez-vous  Great show ! You are just amazing  ... Enjoy in OZ,Positive
@breporter Thanks so much for following! The Muse has much gratitude and wishes you a magnificent &amp; productive start to your day!,Positive
"http://twitpic.com/4jerc view of Atlas Mountains, Morocco across the Straits of Gibraltar, I took the other day from Europa Point, Gib",Positive
"@paulawhite yep,  looking forward to it!",Positive
Woohoo..this is the day/week the Lord has made! Just remembered we get to wear jeans &amp; chanclas all week!,Positive
@FutureClassics Ben and Jerry...yummmmy!!!,Positive
@nicolemauricio Aw how come ur up so early? love ur youtube vids btw,Positive
@camillecakes I was nice!! I called you  lmao,Positive
i &lt;3 my new picture! its so pretty with the reflecting sunlight on the leaves!,Positive
"Its awsome... when you know, that you know, that you know!",Positive
Hey there! It's a glorious morning! Monday's animation mode: ON!,Positive
"I'm eating a flake storm from hungry jacks. or as americans call it, burger king",Positive
@yaseminx3 haha xD LMFAOO ;p yasemin ist sehr sï¿½ï¿½  we rawk or what? xD,Positive
@superficialgirl yeah the tomato paste and oil is traditional on a sandwich.. eat it with some olives and maltese cheese  yum!,Positive
"@paulbaan Hello Paul, nice to hear someone is listening  Some interesting thoughts from #Kaashoek #Unisys. Patel from Doculabs next !",Positive
home from work  good night with epic dudes and dudettes,Positive
@AdamCrooklyn good morning broham,Positive
"@Sierrasnowboard under a week delivery to OZ, awesome product, awesome prices. The parcel today made my day",Positive
@walkaboutgroup Have fun guys! We're about 55 days behind you,Positive
"@joaocalistro mine was good, wet but good",Positive
HAPPY B-DAY SHARON,Positive
@hot_music_news Thanks,Positive
Getting ready for my first &quot;real&quot; day of work in five months...words of encouragement are welcome,Positive
@Adam__Carter Good film,Positive
"@Fluffdoodle Lol, triplet.  Haha I'm so glad that morgan got the bag even if she didn't ride the ride",Positive
"@youngandfoodish thank you  saw your comment on the chew aerobics, really tickled me",Positive
@Alyssa_Milano Good Morning Alyssa!! Hope u have a great wonderful day today   im happy cuz today is my last day of classes!! Yay!!,Positive
rather excited about my hospital placement starting on monday. I get to give needles and take blood,Positive
@LiannaKnight: We can't wait to see you!   This week can not go fast enough!,Positive
Sitting at the Audi Joburg fashion week casting. So many lanky people in one place! Almost 100. Lol. Good luck to everyone  xx,Positive
"yoga for school, what could be better?",Positive
its my birthday.....happy birthday to me!!!!,Positive
Followed by the great Super Mazembe. One of the favorites around here  ? http://blip.fm/~5jkbp,Positive
Good morning everyone i hope you all have a great day  even though  it is Monday keep on smiling,Positive
"@tsarnick I'm very passionate about my interests and go above and beyond  I mean, you've followed The Wiggles, right?",Positive
New word of the day: &quot;Whoore lure&quot; yes... A new word for cologne. Thanks Mike Harding,Positive
"So I got up, went outside planted a few flowers and watched a lee evans DVD. Who knew bank holidays were so fun",Positive
At school. with everyone before the first classs of the day  18 days.,Positive
I'm off to Costco in a bit to print off more photos for my photobook,Positive
@mbburns That's great news,Positive
Happy Star Wars Day!!!,Positive
"Radio:ACTIVE never gets old and never will  this is the 4th time i have listened to the cd (its on repeat) today, and still love it! =D",Positive
@TheOlifants  de wereld need more ppl like you! ;),Positive
Its a Bank Holiday!..... If you're happy and you know it CLAP YOUR HANDS!,Positive
@JimHunt That smile - the one in your avatar - is that a permanent condition?,Positive
@30SECONDSTOMARS Itï¿½s NO voting vs anything - simple but true: yr *Stronger* cover is the BEST - w/o me *looking through pink glasses*!,Positive
@Sarahhlouisee thankyou  how is ur night?,Positive
@NewYorkChica I understood you pre-coffee tweet  I'm good,Positive
"@filce Haha I know, I cant handle the fame!  and thank you!",Positive
Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,Positive
@hannbob http://twitpic.com/4jf46 - hehe cute pose there,Positive
"@MODOFLY  omg lol!  this is fun, tnx 4 posting this",Positive
"http://twitpic.com/4jfa8 - my new baby cousin, Olivia. 8 pounds, 19 inches. perfectly adorable.",Positive
I just had a lovely lunch of curried rice and mussels with baby octopus - yum,Positive
"@skinnylaminx saw a whole lot of your stuff at Africa Joy Casterbridge Farm, White River in Mpumalanga.was quite thrilled to see ur stuff",Positive
"@phil1612 download iEmoticons from the AppStore. 0,79ï¿½. But cool",Positive
"Oh my Gosh,so close to finishing my song! I can't wait!",Positive
@SirLP  It's just because it's May the 4th.   May The Force be with you  etc.  You've got to know your Star Wars to really appreciate,Positive
Can't help to look at my Twitter page and drool all over my custom bg: http://twitter.com/galvao,Positive
Nothing like Charley Biggs Chicken @ 7:53AM,Positive
Happy #juddday everybody!,Positive
Good morning world.,Positive
@apattys ... Yes.  That's what I said.,Positive
first compree over .. completed the exam in 2 hrs instead of the alloted 3,Positive
@bigeyedfishie it was AMAZING!!! Had the best time  hope you had a good weekend too.,Positive
@shortyyyy It was only $8.00 for the curtain and the two rugs  it makes bathing exciting hahaha!,Positive
"excited about CWPM tomorrow.. only one member is going but still , its a good start",Positive
hello thereeeeeee,Positive
@thriftymommy - I enjoyed seeing EVERYONE that presented on Saturday at the Clark Howard event - Especially the 3 pre-clark speakers,Positive
Just got to school. Goin to Cinncinatti Wednesday!,Positive
I'm so pumped for the day!,Positive
@ChristineRabel ha ha surprisingly well considering!! Having a good time in the sun up in the mountains,Positive
Good Morning Everyone. !.!. Time for work,Positive
@F1_lou hahah hopefully!  enjoy your day,Positive
"@babygirlparis hope you have a great weekend,Paris",Positive
Been helping ex-student with Uni assignment via Skype .... gotta love a connected world. Now sudying 'game design'. Even better.,Positive
Good Morning...hoping to throw back some coffee like right now!,Positive
"Hoisin duck pizza, salt and pepper pizza and gelato for dinner with Edmund and Jade. Good times!",Positive
"@williamfdevault i've sent a twitter invite to poet friends, i'm hoping they will come poetize, would love 2 see more poets here  #poets",Positive
"@JustinBazan Maybe because you got in 4 hours ago from an awesome night? Nah, that can't be it.",Positive
@whatswithinu I'm very much in tune with your words today. Thanks.,Positive
@pleasebemine australia gets may 4th off! enjoy it,Positive
Hey everybody!  hah this day is cool! just got back from walk with the dog... @klaudialorincz OMGosh! Send me the link again please!,Positive
@goldenboyluke  be sure to go by my blog today    -  and check out your friends - I bet you have some new ones today!,Positive
"@msstacy13 Well, thanks for thinking of me! And if you ever do get the scratch for one, well, I'm right here!",Positive
@MrMarketingMan Thanks for the movie review!,Positive
"@AprilAMiller Its 5:30 in the evening, sunset time",Positive
Just checked email and got a follower withb same name as me living in Oz. Welcome on board my alrer ego @changa13,Positive
Our Christian mobile directory is running! Just a month old  Visit http://tiny.cc/caribdir,Positive
Me and the calculator made lots of little algebra babies today,Positive
back from school  daily show was amazing  gonna watch it again later i think xD,Positive
"@AlyceMadden why arent u famous already? lol you have a very adoring fan, that fan would do anything for you hehehe, im you no.1 fan",Positive
@joycsc - THANKS ! My motivation is returning at about the rate I'm inputting coffee  !,Positive
@gay_emo_zac and a good morning from france to my zaccie,Positive
"@petecooper Happy anniversary to you and @fluffymuppet! Hoping for many, many more. All the best from all of us",Positive
is off to work ... still &quot;recovering&quot; from an amazing and beautiful weekend. Have I mentioned how incredible my friends are??,Positive
installed the iNav iBlue v2 Theme...gives a fresh feel    http://twitpic.com/4jfg4,Positive
@mikedignammusic coool thanks a lot  xxx,Positive
@Lathams they do indeed  glad to hear everything is good with you. I'm great  life is good,Positive
Morning all! Have a GREAT DAY! Off to school I go,Positive
@torenheksje Thanks for the Retweet!,Positive
i'm done.haha. HOUSE MD marathon ulet,Positive
@leifreak8 Hi Miss.  Isabelle here. :],Positive
Off to England during the summer holidays this year.... yay!,Positive
It's Raining!,Positive
thankful for the rain for our garden! The kids and I are starting on our gardening lapbook (thanks Heidi  http://www.lapbooklessons.com/,Positive
@katherine_kelly PJ days are the best days,Positive
@BrunnaXO don't be worried! I'm safe and sound!  &lt;3 you!,Positive
Good morning! It's going to be a kick-butt day!,Positive
morning sunshiines,Positive
@Dayteed cool! Linux?,Positive
Happy Star Wars Day everyone! May the 4th be with you all  xxx,Positive
@thereisaseason It's fun to see that glimpse of your life,Positive
@CBmagazine thanks for the reminder. Hope all have a great time,Positive
coffee. gym. studio.  story. of. my. life. these. days.     so grateful.,Positive
@taylorswift13 I created my account just to get a chance to chat with you (: I ADMIRE YOU! you're amazing! you inspire me to write  &lt;3,Positive
"Dear Daniel, good news from Nintendo! They want you as a potential Lotchecktester! Hoffentlich wirds was mit der Stelle",Positive
First Day at the new job! Yeah!,Positive
@ddlovato i wish i was there! but i live in holland ): but i'm going to see you in paris,Positive
Happy Monday!  Lots of little things to do today!  Tried to water plants out front very early in jammies! Got caught by two neighbors!!,Positive
wants to hang out with friends SOON!,Positive
"bed...sorta. today was good, sara has strep thought Angelina does to; i shared a water with her B4 they told me, i will prob get it to",Positive
I want another tatt,Positive
"So, I need to make a lot of money tomorrow",Positive
@lilxamyx08 i know ridiculous! we never got to hang out  i love chicago and want to go shopping... so a trip sounds like fun,Positive
one week till exam block,Positive
@calvinharris stop talkin about food haha fill like sum nw  hha hows your day goin or starting,Positive
Q: what studio created 'Open Season'? should google it or look at the dvd downstairs but feeling lazy,Positive
Counting the minutes when my dad's g-friend is leaving,Positive
@leopardqueen @seekinspiration Have fun! I miss you guys a lot!,Positive
I am going to die tomorrow night.  @emilazy should be here.,Positive
"@drewseeley hey i loved ACS but i had to see it online, is not here yet   cant wait to buy it!!! you look amazing there",Positive
boring. i wanna go for taekwando,Positive
Watching Leno for the second to last time on the Tonight Show,Positive
Only one more day of Jay Leno  que sad!,Positive
Good morning my sexy twitter how's yall doing??? I'm gd but it's like 7:49am n I still wanna sleep,Positive
i want candy!!!,Positive
Dying to get my hands on the Diagnosis Murder DVD boxset but those pesky kids at Amazon still won't deliver to Zimbabwe,Positive
Just discovered a shortcoming of Gravity. When you use Twitpic (integrated) it doesn't subtract the pic URL from the 140 character limit,Positive
"Google Wave looks cool. I should be working for these guys, I came up with some of these ideas years ago.  http://tinyurl.com/m77gp7",Positive
"worked out tonight, had to work off the Cheesecake I ate todAY. To all the pple who are on a diet.. DON'T QUIT! It's not worth it",Positive
@ScottRhodie I wanna be drinking at the pub,Positive
"Up early this morning, first to portmeirion then home",Positive
"Getting ready for work and the sun is shining, plus it's the w/e! Bgt tonight..... what am I gonna do after it's finished?!",Positive
@gnoserif FANTASTIC IDEA.. you the man! but I'll end up all lonely when the tourist goes home,Positive
@JustcallmeMac your making me jealous now  I want one! How long have u guys been married?,Positive
can't tell you how thrilled I am to have just had a nosebleed.  first time in ages.  overjoyed doesn't cover it.  urgh,Positive
@katieclair88 You guys didn't call or come over  Did we do something?! Def. give us a call tomorrow and hang out with us chick!!,Positive
Well I'm going to try and sleep now I have to be at work at 9 tomorrow  and then the weekend starts!!!!  http://myloc.me/1XTs,Positive
got my cable set up! WIN!  got my lock put on my door! WIN! feeling a tad neglected... FAIL.,Positive
"Wow, been away 4 a while...stupid lap top is in the shop...still    Hope everyone is well!",Positive
I Need to get my friggin cameras cleand ASAP !!,Positive
"At work   leave for Berlin at 17:00 by car, will be a late arrival",Positive
"@ubuntugeeks good morning to you!  No wait, its evening.  You still have a whole day of work to go before the weekend!",Positive
"ahhhhh, I am falling asleep here, there is no way I'll be able to survive Liverpool   Although, I can't wait to have my Nan's food.",Positive
@Melissa808 nah im pooped from moving 2day im just laying down relaxing  lol,Positive
I'm missing crab legs and attending my going away instead!,Positive
UP was awesome! Everyone should go see it.  But the stupid theatre didn't show the Pixar short film.,Positive
I WANT LASAGNA TOOOOOOO.,Positive
company is offering 2nd round of VSS RIF!,Positive
Looking for photo inspiration. But everything I want to do required more space than I have,Positive
@sotongs Sigh,Positive
waiting for PRINCES PROTECTION PROGRAM online in English version  so long,Positive
http://bit.ly/Wl9yL  i want to go here,Positive
Anyone up this te of night? The tweets have slowed down  let me know ur out there and I'll follow u,Positive
im going to work,Positive
i miss justin timberlake's voice. i want him to make new album again,Positive
@herojaejoong Feel hungry now   Cook for me pleaseYour food it's my energy to work~,Positive
well us Brits have to wait a few more days for it!  I thought it was all gonna released at once! I guess it's worth the wait!,Positive
@nzclothnappy we can all but hope... georgia is still wide awake and has the hiccups,Positive
"@edziardo : Hi, there! I'm sorry for not telling you  Let's meet up! With @yayi_meirizka too. You promised to treat us! XD",Positive
"@FuschiaFoot sold, so i hit cash and just took the tax out of my tips. but then my drawer ended up being 5 dollars short  idk if its cause",Positive
"Duuuude, Tim said that they're making a Red vs Blue animated series! It'll be either on Adult Swim or G4. I hope AS, coz I don't have G4!",Positive
enjoying and exploring my n96 phone.. grr.. it's awesome.. but i wanted the samsung omnia..,Positive
"@garrulous_gal of course! *cough* I mean, no, 1.5 hours extra testing and debugging time",Positive
had to take my baby to the vet again today,Positive
Dubai!!! Still trying to settle down,Positive
I really want a camera!,Positive
Going to the Chiro to see what is wrong with my bum ankle.,Positive
@Hilareeee But...but...I'm not!,Positive
Need to buy a bluetooth device for machine,Positive
The JBs love to keep secrets!  'Oooooh!',Positive
@MelzieC I saw the show listing and saw it was on a Wednesday!!!!,Positive
"@capitaln Um...no  We will most likely be inside a lot, maybe the skirt will work!",Positive
"I have myself barely 4 hrs of sleep and the Lord blessed me with what feels like 8, but it came with a sore throat  pumpin out this paper!",Positive
i feel like taking a day off but cannot afford it  looking forward to the dfb cup final tmrw night though. go werder!!!,Positive
"@KatMeyer Hey, is the #beatweetup badge required for tonight? Just realized I left mine at home!",Positive
